Geneid	A1_S61_early_BHI_1	A2_S62_early_BHI_2	A3_S63_early_BHI_3	A7_S64_late_BHI_1	A8_S65_late_BHI_2	A9_S66_late_BHI_3	B1_S67_early_butyrate_1	B2_S68_early_Butyrate_2	B3_S69_early_Butyrate_3	B7_S70_late_Butyrate_1	B8_S71_late_Butyrate_2	B9_S72_late_Butyrate_3
cds-CAJ69905.1	29	33	14	37	32	44	24	29	84	77	92	67
cds-CAJ69906.1	617	437	633	477	228	5050	581	891	14501	4924	2356	6919
cds-CAJ69907.1	753	561	1027	547	376	8114	1095	688	9953	4643	1576	4668
cds-CAJ69908.1	182	82	135	83	69	1827	178	106	1092	459	256	693
cds-CAJ69909.1	118	107	133	116	65	1639	279	187	2426	1233	337	1065
cds-CAJ69910.1	152	105	107	125	61	1318	249	601	7269	2728	1186	3017
cds-CAJ69911.1	259	140	120	107	61	25	101	413	573	489	715	382
cds-CAJ69912.1	11900	10172	8423	5116	4700	954	7673	5594	5299	5467	8225	6349
cds-CAJ69913.1	8830	7422	7144	4661	3306	609	6746	7418	6965	6848	9039	8510
cds-CD630_30200	14	23	4	14	10	20	6	109	115	129	269	223
cds-CAJ69915.1	32	20	34	28	24	10	42	90	150	718	226	136
cds-CAJ69916.1	16	27	57	25	15	10	42	119	127	1163	239	116
cds-CAJ69917.1	27	19	19	21	17	8	43	176	227	1814	377	200
cds-CAJ69918.1	404	418	506	315	253	53	154	192	172	314	145	87
cds-CAJ69919.1	186	190	232	126	106	12	82	148	74	201	97	45
cds-CAJ69920.1	9491	9090	11610	8573	4761	598	3523	3789	1526	2769	898	1520
cds-CAJ69921.1	19716	22009	30189	22042	12784	1451	10337	10876	5620	11844	3451	5002
cds-CAJ69922.1	16416	14454	16568	15951	6648	670	8486	14015	7980	16251	4778	5811
cds-CAJ69923.1	39636	39213	48608	33739	17941	1080	25616	24164	13667	25964	8081	9680
cds-CAJ69924.1	19908	19865	24348	17915	11212	1301	10686	29413	19197	24270	15444	15402
cds-CAJ69925.1	124	84	102	50	79	98	102	135	306	885	279	836
cds-CAJ69926.1	64	46	46	64	50	148	24	43	32	52	80	132
cds-CAJ69927.1	17	19	30	37	27	4	10	122	121	63	199	97
cds-CAJ69928.1	274	299	480	289	628	454	209	578	457	461	704	411
cds-CAJ69929.1	6851	5062	3373	2303	1117	198	1752	722	1181	1240	792	1123
cds-CAJ69930.1	71	55	72	176	110	104	74	1591	2789	2229	4813	4743
cds-CAJ69931.1	370	263	309	219	253	394	129	469	353	511	705	263
cds-CAJ69932.1	211	162	163	112	137	357	74	290	194	275	251	151
cds-CAJ69933.1	19	17	17	21	16	55	20	68	46	77	67	57
cds-CAJ69934.1	2355	2381	4678	2954	5101	3179	2420	4096	2714	3360	5302	4703
cds-CAJ69935.1	478	258	489	418	336	196	256	1373	1879	1847	2429	1442
cds-CAJ69936.1	7630	11645	40263	10415	33825	9252	8561	27770	28702	17332	35677	37620
cds-CAJ69937.1	196	122	121	190	132	94	151	256	219	308	333	274
cds-CAJ69938.1	46	20	41	82	58	26	60	68	50	44	62	62
cds-CAJ69939.1	4	24	14	12	14	6	12	11	7	4	34	16
cds-CAJ69940.1	6	14	14	8	12	0	4	12	18	16	24	12
cds-CAJ69941.1	93	102	114	132	117	88	101	98	75	133	128	101
cds-CAJ69942.1	25	16	31	26	16	16	2	5	12	35	21	16
cds-CAJ69943.1	5	1	8	3	7	2	6	70	72	42	69	65
cds-CAJ69944.2	313	323	327	247	225	35	183	333	334	322	407	205
cds-CAJ69945.1	30	47	43	28	22	5	23	136	135	74	122	96
cds-CAJ69946.1	53	54	38	46	45	4	18	74	46	38	44	57
cds-CAJ69947.1	192	166	206	194	139	37	165	309	333	421	390	332
cds-CAJ69948.1	78	53	58	88	57	45	49	121	88	107	97	109
