time	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5
65700	0.5284167	0.4278333	0.4210833	0.5460833	0.47475	0.4630833	0.4571667	0.5850833	0.49025	0.43	0.5341667	0.4720833	0.45925	0.4551667	0.4341667	0.3618333	0.3366667	0.3875	0.3343333	0.3361667	0.3710833
66600	0.5316667	0.426	0.4046667	0.4698333	0.53125	0.4708333	0.4674167	0.5866667	0.4916667	0.4141667	0.4566667	0.5278333	0.4715	0.46675	0.43325	0.3653333	0.321	0.3141667	0.392	0.35025	0.3816667
67500	0.4473333	0.48375	0.4135	0.47775	0.5285833	0.4685	0.4486667	0.5033333	0.55125	0.4243333	0.462	0.52775	0.4731667	0.4495833	0.3505833	0.42375	0.3345833	0.3220833	0.39025	0.351	0.36575
68400	0.4604167	0.4861667	0.4151667	0.4585833	0.45325	0.5265833	0.4564167	0.513	0.5543333	0.4245833	0.4455	0.4519167	0.5303333	0.4596667	0.359	0.42425	0.3339167	0.30675	0.31675	0.4068333	0.3804167
69300	0.4425	0.4041667	0.473	0.4646667	0.4598333	0.5244167	0.4564167	0.4935	0.4705833	0.48275	0.4533333	0.4583333	0.5265833	0.46075	0.3394167	0.34425	0.3915	0.3174167	0.3264167	0.4070833	0.3789167
70200	0.4559167	0.4168333	0.4704167	0.4680833	0.4444167	0.4533333	0.51325	0.5061667	0.4851667	0.4765	0.4546667	0.4375	0.4571667	0.5173333	0.3550833	0.3555	0.3904167	0.3199167	0.3104167	0.3343333	0.4361667
71100	0.4605833	0.3994167	0.3943333	0.52525	0.4481667	0.46575	0.51075	0.50925	0.4638333	0.4013333	0.5093333	0.4513333	0.4655	0.5159167	0.3575	0.3375	0.31675	0.3774167	0.3230833	0.34525	0.4348333
72000	0.52125	0.41675	0.4030833	0.5201667	0.45025	0.44825	0.43825	0.5699167	0.4783333	0.40925	0.50625	0.4533333	0.4484167	0.4451667	0.4181667	0.3518333	0.3246667	0.3755833	0.3248333	0.33	0.3615
72900	0.5195	0.4169167	0.3818333	0.447	0.5086667	0.4586667	0.4519167	0.5675	0.4826667	0.3959167	0.4338333	0.5070833	0.4625	0.4545833	0.4180833	0.35375	0.3106667	0.3034167	0.3818333	0.3440833	0.3719167
73800	0.44075	0.47675	0.3959167	0.4553333	0.5043333	0.46175	0.4308333	0.4881667	0.5399167	0.41	0.4348333	0.5095	0.4614167	0.43775	0.3385	0.41425	0.32325	0.3120833	0.3813333	0.3453333	0.3561667
